GNMUID	Genome ID	Completeness	Contamination	Genome size (bp)	estimated size
GNM003217255	Pseudoroseicyclus aestuarii	98.98	0.76	3444313	3453292 
GNM2582580509	Rhodobacteraceae bacterium bin07	98.14	0.95	3426878	3458349 
GNM003097295	Thalassobacter stenotrophicus LXJ116	99.62	0.31	3458843	3461266 
GNM913057115	uncultured Roseovarius sp. SRR4030062_bin.13_MetaBAT_v2.12.1_MAG	98.95	0.42	3441544	3463363 
GNM000647675	Sulfitobacter pontiacus 3SOLIMAR09	99.69	0	3453172	3463910 
GNM007693835	Rhodobacteraceae bacterium DLM2.Bin65	91.62	1.83	3237189	3464087 
GNM002706605	Rhodovulum sp. SAT37	99.69	3.48	3574957	3465113 
GNM013214635	Rhodobacteraceae bacterium DT_102	94.47	2.12	3347996	3466193 
GNM021775285	Roseovarius sp. OFTM275	93.92	1.03	3295715	3471001 
GNM002285415	Actibacterium pelagium JN33	100	0.61	3494482	3473295 
GNM000161835	Thalassobium sp. R2A62	99.24	0.92	3487925	3482353 
GNM017886365	Octadecabacter sp. HiSeq_31	90.44	1.76	3212041	3483775 
GNM021775355	Amylibacter sp. OFTM397	98.78	1.22	3485101	3485101 
GNM023016085	Aliiroseovarius sp. F47248L  strain=F47248L	100	0.3	3497406	3486945 
GNM900172375	Aquimixticola soesokkakensis CECT 8620	100	0	3490747	3490747 
GNM022678625	Aliiroseovarius sp. N1Y82  strain=N1Y82	100	1.16	3531661	3491164 
GNM017643385	Dinoroseobacter sp. HXMU1420-12	99.09	1.16	3502859	3494124 
GNM002340515	Rhodobacteraceae bacterium UBA2553	93.14	1.04	3292569	3496038 
GNM001650835	Sulfitobacter pontiacus EhN02	99.08	0	3466105	3498289 
GNM001403795	Jannaschia donghaensis CECT 7802	98.39	1.27	3486999	3498895 
GNM011389685	Rhodobacteraceae bacterium S24.Bin137	91.46	0.4	3215204	3500113 
GNM003417655	Rhodobacteraceae bacterium 63075	100	0.23	3509006	3500954 
GNM900141625	Ruegeria lacuscaerulensis DSM 11314	99.69	0.31	3503407	3503407 
GNM017854585	Rhodobacteraceae bacterium DEBay_Spr20G08_79	95.98	0.12	3367750	3504422 
GNM003428585	Rhodobacteraceae bacterium W635	99.62	0.31	3502776	3505230 
GNM008086115	Boseongicola sp. HY14	99.39	0.78	3512877	3506915 
GNM023370775	Marivita sp. GX14005  strain=GX14005	98.19	0.3	3455510	3508488 
GNM021296235	Rhodobacteraceae bacterium 277c_13	90.18	0	3164177	3508735 
GNM003544895	Profundibacter amoris BAR1	100	1.33	3558757	3512047 
GNM000712275	Sulfitobacter donghicola JCM 14565	99.69	0.33	3513202	3512500 
GNM913060815	uncultured Sulfitobacter sp. SRR3933267_bin.14_MetaBAT_v2.12.1_MAG	99.84	0.11	3512286	3514043 
GNM900156505	Yoonia rosea DSM 29591	100	0	3514278	3514278 
GNM002691425	Roseobacter sp. MED633	98.73	0.84	3500593	3515711 
GNM003316635	Pelagivirga dicentrarchi YLY04	99.69	0.15	3515059	3520692 
GNM009669325	Roseovarius bejariae A21	99.25	0.08	3498676	3522275 
GNM000161775	Ruegeria lacuscaerulensis ITI-1157	99.69	0.31	3523710	3523710 
GNM000765485	Thalassobacter sp. 16PALIMAR09	99.31	0.92	3531868	3523763 
GNM000169435	Roseobacter sp. CCS2	99.08	0.15	3497325	3524463 
GNM022340315	Silicimonas sp. MASabin.3	92.89	1.53	3330369	3527186 
GNM2770939591	Pseudoroseicyclus aestuarii CECT 9025	97.17	0.45	3444313	3528286 
GNM017854565	Yoonia sp. DEBay_Spr20G08_58	98.02	1.13	3500487	3530496 
GNM002702835	Roseovarius sp. NAT17	99.24	1.53	3558106	3530918 
GNM004126395	Roseovarius sp. A46	99.69	0.31	3534212	3534212 
GNM000812685	Halocynthiibacter namhaensis RA2-3	99.69	0.31	3535512	3535512 
GNM023195695	Aliiroseovarius sp. S1339  strain=S1339	99.9	0.36	3544952	3535759 
GNM022096995	Yoonia sp. I 8.24  strain=I 8.24	99.39	0.3	3527577	3538546 
GNM013139635	Rhodobacteraceae bacterium GLR160	92.89	3.8	3421644	3538778 
GNM000622405	Sulfitobacter donghicola DSW-25	99.69	0.33	3540159	3539451 
GNM014762635	Rhodobacteraceae bacterium Bin_6	98.82	1.49	3550994	3540020 
GNM000967725	Loktanella sp. S4079	99.69	0.77	3557636	3541346 
GNM002706785	Roseobacter sp. SAT8	98.17	4.61	3640882	3542403 
GNM000423645	Sediminimonas qiaohouensis DSM 21189	100	0.31	3554982	3543996 
GNM013373135	Rhodobacteraceae bacterium HF-Din14	98.94	0.48	3525744	3546313 
GNM017743885	Sulfitobacter sp. R18_2	99.68	0.48	3553441	3547765 
GNM005518135	Pelagicola litoralis CL-ES2	100	0.61	3570835	3549185 
GNM001458235	Cognatishimia activa CECT 5114	98.03	0	3479689	3549616 
GNM017795185	Pseudooceanicola nitratireducens m3	98.49	0	3496113	3549714 
GNM022347965	Phaeobacter sp. CNT1-3  strain=CNT1-3	98.98	0	3516592	3552831 
GNM014235845	Monaibacterium sp. h42	99.7	0	3545831	3556501 
GNM008065155	Octadecabacter sp. SW4	99.39	0.15	3541013	3557377 
GNM016820245	Jannaschia sp. Os4	99.03	0.45	3539904	3558408 
GNM023015695	Jannaschia sp. S6380  strain=S6380	98.69	0.3	3525375	3561345 
GNM913052535	uncultured Rhodobacteraceae bacterium ERR599035_bin.56_MetaBAT_v2.12.1_MAG	97.11	0.96	3493317	3562065 
GNM013487745	Sulfitobacter pontiacus S1704	99.36	0.32	3551353	3562754 
GNM016763475	Roseicyclus sp. NORP323	90.24	1.74	3279388	3565327 
GNM2835780464	Phaeobacter sp. CNT1-3	98.98	0	3530369	3566750 
GNM900141995	Maribius salinus DSM 26892	100	0.2	3574415	3567280 
GNM900113265	Jannaschia rubra DSM 16279	99.24	0.34	3552645	3567629 
GNM000152605	Sulfitobacter sp. EE-36	99.39	0	3548498	3570277 
GNM021648025	Rhodobacteraceae bacterium D96SM.bin.44	94.74	2.2	3464212	3573563 
GNM001458315	Thalassobacter stenotrophicus CECT 5294	99.62	0.76	3592055	3578457 
GNM900116285	Sulfitobacter marinus DSM 23422	99.69	0	3567424	3578517 
GNM022347685	Thalassobius sp. Cn5-15  strain=Cn5-15	97.87	0.64	3525422	3578745 
GNM900302495	Pontivivens insulae CeCT 8812	98.7	0.38	3547102	3580038 
GNM900107015	Litoreibacter albidus DSM 26922	100	0	3580729	3580729 
GNM900141735	Wenxinia saemankumensis DSM 100565	99.39	0.51	3577582	3581163 
GNM002311545	Sulfitobacter sp. UBA1132	98.6	0.46	3548747	3582422 
GNM900141945	Thalassobacter stenotrophicus DSM 16310	99.62	0.76	3598816	3585192 
GNM017886375	Octadecabacter sp. Hybrid_5	90.36	0.68	3264243	3585504 
GNM913064905	uncultured Marinovum sp. ERR2098389_bin.47_MetaBAT_v2.12.1_MAG	96.3	0.05	3455023	3585909 
GNM000590925	Roseibacterium elongatum DSM 19469	98.83	0.31	3555109	3585948 
GNM011290545	Monaibacterium sp. ALG8	99.7	0	3575444	3586203 
GNM013042605	Rhodobacteraceae bacterium Site_B21	96.04	2.64	3539202	3586544 
GNM018702795	Tateyamaria sp. SI073_bin148	95.85	2.18	3515987	3586644 
GNM900110065	Loktanella fryxellensis DSM 16213	99.01	0	3551153	3586661 
GNM900109285	Jannaschia helgolandensis DSM 14858	99.31	0	3562860	3587615 
GNM003385715	Pontivivens insulae DSM 103361	98.55	0.08	3539463	3588627 
GNM002162885	Rhodobacterales bacterium 59_46_T64	99.39	0	3567932	3589830 
GNM913058515	Sulfitobacter litoralis SRR3933256_bin.4_MetaBAT_v2.12.1_MAG	95.66	1.12	3476790	3592467 
GNM905181975	Rhodobacteraceae bacterium FRAM18_bin035	96.51	1.11	3507420	3592932 
GNM004145405	Salipiger sp. IMCC34102	98.78	0.82	3578686	3593058 
GNM900177545	Maritimibacter sp. HL-12	99.54	0.61	3606483	3601081 
GNM900116005	Poseidonocella sedimentorum DSM 29315	98.03	0.61	3555572	3604594 
GNM000169395	Rhodobacterales sp. HTCC2150	99.39	0	3582902	3604892 
GNM913050045	uncultured Sulfitobacter sp. ERR599044_bin.28_MetaBAT_v2.12.1_MAG	99.36	0.32	3595230	3606772 
GNM011806455	Celeribacter sp. HF31	99.24	0.45	3595678	3606859 
GNM2930928012	Marivita sp. SBSPR1	99.1	0.74	3604362	3610138 
GNM020055675	Marivita sp. SBSPR1	99.1	0.74	3604362	3610138 
GNM019297855	Jannaschia sp. J12C1-MA-4  strain=J12C1-MA-4	99.7	0.61	3621968	3610775 
GNM019599045	Roseovarius sp. SCSIO 43702  strain=SCSIO 43702	99.42	0.6	3612261	3611539 
GNM001642945	Rhodobacteraceae bacterium SB2	99.69	0.97	3636317	3612475 
GNM018139985	Actibacterium sp. MT2.3-13A	99.14	0.61	3605589	3614626 
GNM007827395	Rhodobacteraceae bacterium PT6CLA	99.62	0.61	3630184	3621854 
GNM900111875	Poseidonocella pacifica DSM 29316	100	0	3622008	3622008 
GNM900116725	Aliiroseovarius crassostreae DSM 16950	100	1.07	3662395	3623622 
GNM016125575	Limimaricola sp. RI_271	99.09	1.06	3635823	3630377 
GNM019061145	Rhodobacteraceae bacterium ASV31  strain=ASV31	100	0.25	3641124	3632044 
GNM005068605	Sulfitobacter sp. 15WGC	99.25	1.79	3671081	3633295 
GNM003318235	Loktanella sp. D2R18	99.69	0.92	3658284	3636104 
GNM020177595	Cognatishimia sp. MH4019  strain=MH4019	99.55	0.1	3628407	3641151 
GNM018860975	Lentibacter algarum B3M08	99.57	0.6	3650272	3644077 
GNM019090795	Rhodobacteraceae bacterium DC_out69	98.41	1.1	3626690	3644548 
GNM2574179735	Pelagicola litoralis DSM 18290	99.36	0.32	3642925	3654620 
GNM014075275	Boseongicola sp. MH-Pat-all_autometa_1-3	98.12	0.45	3603264	3655538 
GNM002933395	Yoonia maritima YPC211	99.62	0.92	3676833	3657085 
GNM020165855	Celeribacter sp. ASW11-22  strain=ASW11-22	99.55	0.4	3655420	3657249 
GNM013093415	Halovulum dunhuangense YYQ-30	100	0	3657397	3657397 
GNM2608642163	Rhodobacteraceae bacterium sp. SB2	98.33	0.96	3636317	3662319 
GNM004959925	Pseudooceanicola onchidii XY-99	100	0.3	3673499	3662511 
GNM014640115	Maritimibacter lacisalsi	99.39	0.15	3648224	3665083 
GNM900109295	Cognatiyoonia koreensis DSM 17925	99.39	0.08	3648231	3667670 
GNM905479465	Planktotalea frisia 0.2_20180529_Bin_145	90.15	2.1	3384063	3668361 
GNM000152625	Roseovarius nubinhibens ISM	99.9	0.31	3676244	3668540 
GNM002366795	Rhodobacteraceae bacterium UBA3069	98.01	0.41	3610761	3668727 
GNM002751875	Oceaniglobus indicus 1-19b	99.69	0.31	3670870	3670870 
GNM004339675	Rhodovulum steppense DSM 21153	99.39	0.46	3665949	3671456 
GNM022826385	Silicimonas sp. jk18x22bins.107	91.03	1.02	3379777	3671675 
GNM014195545	Limimaricola variabilis CECT 8572	99.24	0.25	3653427	3672155 
GNM017640945	Roseicyclus sp. HXMU1426-12	99.07	0.78	3666802	3672310 
GNM018860505	Pacificibacter marinus D2R04	98.64	0.86	3654708	3673073 
GNM018069895	Roseovarius sp. SHN287	99.65	0.45	3677288	3673614 
GNM000442275	Litoreibacter arenae DSM 19593	100	0.2	3682761	3675410 
GNM021775315	Rhodobacteraceae bacterium OFTM224	99.09	1.32	3691068	3675996 
GNM019911965	Rhodobacteraceae bacterium MAG_49	98.78	1.02	3668882	3676234 
GNM001403735	Jannaschia rubra CECT 5088	99.24	0.34	3660824	3676264 
GNM017641105	Roseicyclus sp. HXMU1425-11	96.76	0.64	3581197	3676794 
GNM900103185	Sulfitobacter litoralis DSM 17584	99.69	0.31	3678401	3678401 
GNM003003285	Yoonia maritima DSM 101533	99.31	0.61	3677387	3680331 
GNM900113435	Sulfitobacter dubius DSM 16472	99.69	0	3671544	3682961 
GNM013215215	Cognatishimia sp. DT_16	96.4	2.18	3631262	3683569 
GNM003634925	Roseovarius halotolerans DSM 29507	100	0.92	3718295	3684399 
GNM001307765	Aliiroseovarius crassostreae CV919-312	100	1.07	3725379	3685939 
GNM002388305	Sulfitobacter sp. UBA4523	90.54	0.33	3350781	3687445 
GNM900172235	Pseudoruegeria aquimaris CECT 7680	99.69	0.31	3691014	3691014 
GNM004365635	Litoreibacter halocynthiae DSM 29467	99.69	0	3680113	3691557 
GNM900172255	Roseovarius halotolerans CECT 8110	100	0.92	3725543	3691580 
GNM003510985	Rhodobacteraceae bacterium UBA9514	93.99	0.92	3503750	3691655 
GNM003298505	Roseovarius sp. TE539	100	0.61	3715327	3692801 
GNM000647975	Actibacterium mucosum KCTC 23349	100	0.61	3715337	3692811 
GNM001420005	Loktanella sp. 3ANDIMAR09	99.08	0.51	3678290	3693433 
GNM900156535	Roseovarius nanhaiticus DSM 29590	99.69	0.36	3698163	3696315 
GNM022448925	Rhodobacteraceae bacterium ALOHA_ZT_57	93.51	0.66	3482169	3697748 
GNM009830125	Kangsaoukella pontilimi  strain=GH1-50	99.33	0.26	3685850	3701024 
GNM011326755	Planktotalea sp. M26A2M	99.7	0.3	3702221	3702221 
GNM013035175	HKCCA5403	99.57	0.64	3711697	3703919 
GNM900109765	Roseovarius nanhaiticus CGMCC 1.10961	99.69	0.36	3706028	3704176 
GNM003031585	Thalassobius sp. I31.1	100	0.69	3729993	3704432 
GNM001314655	Rhodobacteraceae bacterium HLUCCA08	99.39	0.31	3698543	3709672 
GNM001419985	Loktanella sp. 5RATIMAR09	99.69	0.02	3699256	3710015 
GNM013035065	HKCCA5930	99.57	0.64	3717871	3710080 
GNM900231835	Monaibacterium marinum C7	100	0.61	3734267	3711626 
GNM020177575	Hasllibacter sp. MH4015  strain=MH4015	99.39	0.52	3713265	3716610 
GNM017643785	Thalassococcus sp. HCUG1435-3	98.64	0.38	3681213	3717646 
GNM019104745	Thalassococcus sp. CAU 1522  strain=CAU 1522	98.8	0.88	3706450	3718349 
GNM019800905	Pseudooceanicola nitratireducens  strain=DP3N28-1	99.07	0.45	3701391	3719243 
GNM001411945	Loktanella sp. 1ANDIMAR09	99.69	0.31	3719274	3719274 
GNM018860885	Roseovarius nubinhibens B2R09	99.85	0.68	3739335	3719621 
GNM900111945	Litoreibacter janthinus DSM 26921	100	0.92	3754758	3720529 
GNM011087945	Rhodobacterales bacterium MH2_Bin22	96.05	0	3573728	3720695 
GNM013030285	HKCCD8343	99.57	0.32	3716906	3720999 
GNM002714715	Confluentimicrobium sp. SAT108	92.11	3.07	3542561	3721959 
GNM003944755	Rhodovulum robiginosum DSM 12329	99.39	0.31	3712677	3723849 
GNM013031345	HKCCD6425	99.57	0.32	3720516	3724613 
GNM001314805	Rhodobacteraceae bacterium HLUCCO18	98.32	0.59	3684589	3725194 
GNM2608642210	Rhodobacteraceae bacterium bin18	98.33	0.53	3684589	3727078 
GNM014199395	Loktanella ponticola DSM 101064	98.78	1.22	3729572	3729572 
GNM009617595	Epibacterium sp. SM1969	97.87	0.8	3681437	3731060 
GNM016123485	Rhodobacteraceae bacterium MYP1-1	99.7	0.1	3724544	3732008 
GNM013035235	HKCCA5275	99.57	0.64	3739926	3732089 
GNM000382265	Loktanella vestfoldensis DSM 16212	99.69	0	3721596	3733169 
GNM013035145	HKCCA5708	99.57	0.32	3729228	3733335 
GNM913054395	uncultured Roseovarius sp. SRR3646363_bin.12_MetaBAT_v2.12.1_MAG	96.62	4.01	3757040	3733519 
GNM013033465	HKCCA0501	99.57	0.32	3731673	3735782 
GNM013035125	HKCCA5915	99.57	0.32	3733081	3737192 
GNM013035055	HKCCA5932	99.57	0.32	3733209	3737320 
GNM013035265	HKCCA4685	99.57	0.32	3735986	3740100 
GNM013032875	HKCCA0510	99.57	0.32	3736839	3740954 
GNM004349575	Sulfitobacter pontiacus SAORIC-395	99.69	0	3729443	3741040 
GNM016412875	Maribius pontilimi KCTC 52957	99.24	0.3	3724089	3741299 
GNM900172315	Palleronia marisminoris CECT 7066	99.9	0.31	3750464	3742605 
GNM019800985	Pseudooceanicola nitratireducens  strain=DP3N21-3	99.4	0	3720736	3743195 
GNM2582581249	Oceanicola sp.	96.82	0.4	3640237	3744329 
GNM2608642200	Rhodobacteraceae bacterium bin08	96.82	0.4	3640237	3744329 
GNM900113875	Jannaschia pohangensis DSM 19073	99.08	0.61	3733035	3744643 
GNM021154965	Sulfitobacter sp. HT3	99.57	0.16	3737192	3747310 
GNM905479055	Rhodobacteraceae bacterium 0.2_20180517_Bin_163_sub_1	91.55	0.59	3455422	3750187 
GNM018401465	Aestuariivita sp. M30B59	99.2	0.48	3740245	3752252 
GNM013032845	HKCCA0519	99.57	0.32	3749616	3753745 
GNM017872975	Rubellimicrobium aerolatum DSM 19297	99.24	1.01	3763584	3754199 
GNM001247715	Roseovarius tolerans EL-164	99.08	0.71	3749125	3757015 
GNM013035225	HKCCA5369	99.57	0.36	3755117	3757747 
GNM013139555	Sulfitobacter sp. GLR163	94.28	1.65	3605639	3758615 
GNM900115815	Roseivivax halotolerans DSM 15490	99.39	0.92	3771129	3759475 
GNM016918935	Rhodobacteraceae bacterium MCCB 386	98.79	0.45	3732706	3761292 
GNM900106935	Sulfitobacter pontiacus DSM 10014	100	0	3762152	3762152 
GNM004342445	Rhodovulum euryhalinum DSM 4868	99.69	0.99	3789126	3763534 
GNM900129235	Litoreibacter ascidiaceicola DSM 100566	99.31	0.15	3743875	3764202 
GNM013035185	HKCCA5546	99.57	0.32	3761008	3765150 
GNM900108275	Jhaorihella thermophila DSM 23413	99.69	0.46	3771953	3766304 
GNM023015985	Marivita sp. S6314  strain=S6314	99.4	0.68	3771095	3768081 
GNM013002465	Silicimonas sp. SS_bin_25	96.27	1.41	3681879	3769327 
GNM012395815	Roseibacterium sp. KMU-115	98.38	0	3709790	3770878 
GNM013033475	HKCCA0037	99.57	0.32	3769456	3773607 
GNM013214715	Rhodobacteraceae bacterium DT_101	97.5	0.59	3701896	3773979 
GNM022763405	Phaeobacter italicus HH_bin18	99.07	0	3739386	3774489 
GNM900109855	Roseovarius tolerans DSM 11457	99.69	0.31	3774967	3774967 
GNM004145845	Loktanella sp. IMCC34160	100	0	3775945	3775945 
GNM021532615	Octadecabacter sp. G9-8  strain=G9-8	99.24	0.3	3758812	3776182 
GNM020441385	Rhodobacteraceae bacterium HKST-UBA85	95.58	2.77	3714602	3776921 
GNM007995215	Shimia sp. WX04	99.33	0.76	3781481	3778081 
GNM013346665	Sulfitobacter sp. S0837	99.68	0.48	3785026	3778980 
GNM000735125	Sulfitobacter sp. CB2047	99.69	0	3767790	3779506 
GNM013031295	HKCCD9190	99.57	0.32	3780861	3785025 
GNM002105285	Planktotalea arctica IMCC9565	99.39	0.61	3786425	3786425 
GNM013033425	HKCCA6437	99.57	0.32	3782372	3786537 
GNM010024325	Rhodobacteraceae bacterium WB7_3xF_025	92.11	3.68	3627209	3786626 
GNM900100005	Lutimaribacter saemankumensis DSM 28010	99.54	0	3772513	3789947 
GNM004799325	Youngimonas vesicularis CC-AMW-E	99.69	0.31	3790026	3790026 
GNM013035025	HKCCA6764	99.57	0.32	3787924	3792095 
GNM014859395	Roseovarius sp. Kmv27	99.3	2.41	3857344	3792492 
GNM013030235	HKCCD9083	99.57	0.32	3789683	3793856 
GNM002723615	Limimaricola cinnabarinus XM1	99.69	0.46	3800995	3795302 
GNM006226505	Rhodobacteraceae bacterium M2406	99.69	0.22	3792033	3795449 
GNM002797915	Yoonia maricola DSM 29128	100	0	3798370	3798370 
GNM013032945	HKCCA0154	99.57	0.32	3795953	3800133 
GNM013035305	HKCCA4775	99.57	0.32	3796249	3800429 
GNM003014435	Limimaricola soesokkakensis DSM 29956	99.39	1.38	3830986	3801713 
GNM009649175	Rhodovulum strictum DSM 11289	100	0.6	3825097	3802283 
GNM900142935	Rhodovulum sp. ES.010	99.39	1.38	3832939	3803651 
GNM003688285	Rhodophyticola porphyridii MA-7-27	99.92	0.92	3837315	3805350 
GNM013035085	HKCCA5923	99.57	0.32	3803396	3807584 
GNM003122205	Maritimibacter sp. 55A14	99.39	0.66	3810661	3808757 
GNM013035165	HKCCA5725	99.57	0.32	3806711	3810903 
GNM003260265	Roseovarius sp. GCL-8	99.69	0.51	3819295	3811672 
GNM014197515	Sulfitobacter sp. N5S	99.36	0	3789783	3814194 
GNM011088055	Rhodobacterales bacterium MH1_Bin22	94.63	0.96	3646984	3815236 
GNM013030305	HKCCD6232	99.57	0.32	3812334	3816532 
GNM004751985	Boseongicola sp. CCM32	99.22	1.99	3862905	3816723 
GNM000756565	Rhodovulum sp. NI22	99.34	0.61	3819905	3821816 
GNM017644125	Roseicyclus sp. HCUG1432-11	99.48	0.61	3826346	3822905 
GNM003390865	Tropicimonas sp. IMCC34011	99.08	0.31	3802795	3826134 
GNM002711755	Confluentimicrobium sp. SAT198	98.39	2.22	3849940	3826598 
GNM013032855	HKCCA0515	99.57	0.32	3822604	3826813 
GNM900110115	Maribius pelagius DSM 26893	99.96	0.82	3858435	3828572 
GNM013032735	HKCCD6598-2	99.57	0.32	3825427	3829640 
GNM013032765	HKCCD6598	99.57	0.32	3825858	3830071 
GNM017854855	Sulfitobacter sp. DEBay_Spr20G08_14	98.78	0.98	3821309	3830502 
GNM003298775	Rhodosalinus sp. E84	99.69	1.38	3872454	3831457 
GNM020201155	Loktanella sp. MAG5	93.53	2.65	3689161	3835684 
GNM900107415	Jannaschia faecimaris DSM 100420	98.7	0.61	3810757	3837234 
GNM013002405	Sulfitobacter sp. SS_bin_37	93.1	1.19	3619459	3838646 
GNM013030325	HKCCD8500	99.57	0.32	3837529	3841755 
GNM018263905	Loktanella sp. SALINAS62	98.69	1.04	3832518	3842894 
GNM015689645	HKCCE4037	99.7	0.15	3838543	3844309 
GNM013032925	HKCCA0240	99.57	0.32	3843817	3848050 
GNM000156255	Ruegeria sp. R11	99.24	0.05	3821839	3849168 
GNM013282155	Sulfitobacter sp. HGT1	98.72	0.44	3816948	3849282 
GNM017857575	Rhodobacteraceae bacterium CPBay_Spr30G08_27	94.56	1.27	3692205	3852870 
GNM010435925	Pseudoroseicyclus sp. CLL3-39	99.39	0.4	3847176	3855272 
GNM013404595	Jannaschia sp. SHC-163	98.69	0.61	3830351	3857352 
GNM019801065	Ruegeria arenilitoris  strain=DP3N14-3	99.57	0	3840776	3857363 
GNM900129345	Ruegeria intermedia DSM 29341	99.69	0.31	3858813	3858813 
GNM018860665	Pacificibacter marinus F2R14	98.64	2.17	3890452	3859193 
GNM003054285	Litoreibacter ponti DSM 100977	100	0.66	3885483	3860007 
GNM900185035	Ruegeria arenilitoris CECT 8715	99.69	0.61	3871907	3860326 
GNM2579778718	Sulfitobacter mediterraneus	99.57	0.38	3861701	3863633 
GNM900109455	Roseovarius azorensis DSM 100674	99.69	0.1	3857113	3865230 
GNM013031325	HKCCD6120	99.57	0.32	3862696	3866950 
GNM001719615	Neptunicoccus sediminis CY02	99.8	0.08	3863961	3868603 
GNM000744955	Oceanicola sp. MCTG156	100	0.31	3881122	3869128 
GNM900114135	Celeribacter halophilus CGMCC 1.8891	99.39	0.31	3859742	3871356 
GNM022825805	Phaeobacter sp. jk18x22bins.85	97	0.42	3772060	3871956 
GNM014196805	Sulfitobacter undariae DSM 102234	99.36	0	3848036	3872822 
GNM000647535	Sulfitobacter mediterraneus 1FIGIMAR09	99.39	0.31	3861701	3873321 
GNM022788675	Sulfitobacter pontiacus  strain=DSM 110277	99.36	0	3849963	3874761 
GNM011040475	Fluviibacterium aquatile SC52	99.7	0.76	3893634	3875805 
GNM019429625	Celeribacter sp. PS-C1  strain=PS-C1	99.24	0.48	3866278	3877134 
GNM900184935	Confluentimicrobium lipolyticum CECT 8621	99.69	0.31	3877740	3877740 
GNM003254175	Celeribacter halophilus DSM 26270	99.39	0.31	3866915	3878551 
GNM018200035	Sulfitobacter sp. JK7-1 JK7-1	98.83	0.69	3860160	3878778 
GNM000743715	Maribius sp. MOLA 401	98.98	0.25	3849771	3879644 
GNM018860305	Celeribacter halophilus G3M19	98.94	0.56	3863924	3883341 
GNM002706495	Roseovarius sp. SAT4	99.44	0.76	3897340	3889561 
GNM900172305	Pacificibacter marinus CECT 7971	100	0.61	3914648	3890913 
GNM003201935	Loktanella sp. PT4BL	99.69	1.07	3921447	3891869 
GNM023015625	Yoonia sp. F2084L  strain=F2084L	99.39	0.2	3876528	3892487 
GNM018223125	Rhodobacteraceae bacterium P03SST1bin.12	99.24	0.83	3896796	3894070 
GNM003057885	Oceaniglobus sp. YLY08	99.69	0.61	3906563	3894878 
GNM022760355	Neomegalonema sp. CC_bin1	98.38	0.6	3855851	3895586 
GNM017592335	Pseudaestuariivita sp. H15 H15	99.7	0.21	3893358	3896865 
GNM002925845	Roseovarius nitratireducens TFZ	99.69	0.76	3918493	3900939 
GNM013033045	HKCCA0209	99.47	0.16	3887444	3901881 
GNM008710275	Histidinibacterium sp. 176SS1-4	99.38	0.68	3905125	3902783 
GNM013035465	HKCCA6196	99.47	0	3885185	3905886 
GNM001262635	Aestuariivita boseongensis BS-B2	99.69	1.27	3944324	3906819 
GNM900327775	Roseovarius sp. EL26	99.63	0.31	3907904	3910250 
GNM900143545	Loktanella sp. Alg231-35	99.39	0.66	3914133	3912177 
GNM900142765	Roseovarius litoreus DSM 28249	100	0.46	3932137	3914132 
GNM001458355	Thalassobius gelatinovorus CECT 4357	99.69	0	3902797	3914933 
GNM018457175	Pseudohalocynthiibacter aestuariivivens BS-W9	99.39	0.3	3903639	3915778 
GNM020630695	Rhodobacteraceae bacterium MAG-99	96.78	1.23	3839456	3917413 
GNM900102015	Limimaricola pyoseonensis DSM 21424	99.39	0.46	3911774	3917650 
GNM900172345	Limimaricola soesokkakensis CECT 8367	99.39	1.07	3936691	3918665 
GNM018659745	Tateyamaria sp. SI075_bin122	94.94	2.01	3805528	3925248 
GNM022448245	Rhodobacteraceae bacterium ALOHA_ZT_56	93.47	0.97	3707077	3925325 
GNM015689705	HKCCE3408	99.29	0.06	3900616	3926136 
GNM000622365	Sulfitobacter noctilucae NB-68	99.69	0	3914541	3926714 
GNM900113405	Palleronia marisminoris DSM 26347	99.9	0.31	3937250	3928999 
GNM000972285	Nautella sp. ECSMB14104	99.39	0.05	3909154	3931169 
GNM016813925	Sulfitobacter mediterraneus SC5-8	99.57	0.38	3931988	3933955 
GNM016813995	Sulfitobacter mediterraneus SC5-5	99.57	0.38	3932168	3934135 
GNM013033575	HKCCA6533	99.15	0.32	3913819	3934673 
GNM009762325	Roseovarius sp. MME-070	99.4	0.6	3934770	3934770 
GNM016814155	Sulfitobacter mediterraneus SC5-41	99.57	0.38	3933549	3935517 
GNM016814195	Sulfitobacter mediterraneus SC5-14	99.57	0.38	3933712	3935680 
GNM016814205	Sulfitobacter mediterraneus SC5-12	99.57	0.38	3933725	3935693 
GNM016814115	Sulfitobacter mediterraneus SC5-3	99.57	0.38	3933770	3935738 
GNM016814225	Sulfitobacter mediterraneus SC5-15	99.57	0.38	3933820	3935788 
GNM016814035	Sulfitobacter mediterraneus SC5-46	99.57	0.38	3934457	3936425 
GNM016814125	Sulfitobacter mediterraneus SC5-42	99.57	0.38	3934544	3936512 
GNM016813955	Sulfitobacter mediterraneus SC5-7	99.57	0.38	3934680	3936648 
GNM016814015	Sulfitobacter mediterraneus SC5-45	99.57	0.38	3934700	3936668 
GNM016814335	Sulfitobacter mediterraneus SC5-10	99.57	0.38	3934892	3936860 
GNM016814275	Sulfitobacter mediterraneus SC5-11	99.57	0.38	3934941	3936909 
GNM016814045	Sulfitobacter mediterraneus SC5-44	99.57	0.38	3935120	3937089 
GNM004761875	Roseovarius aestuariivivens GHTF-24	99.24	0.87	3941562	3937231 
